Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,VN,VP,FS,FF,FB,FE
5/11/2022,326,farce,79446,5688,0,9,26,32,21,9,1,9,35,67,88,97,98,3.9,0.0715958009213805,f,a,r,c,e,1,2,9,0.6326544797313278,0.05874730021598272,0.01468682505399568,1.0510813051658222e-05
5/12/2022,327,slung,75673,5419,0,2,16,37,31,13,2,2,18,55,86,99,101,4.47,0.0716107462370991,s,l,u,n,g,1,1,4,0.5070858991879317,0.15809935205183584,0.03952483801295896,3.6589041346227176e-06
5/13/2022,328,tipsy,77585,5522,0,6,33,38,17,5,1,6,39,77,94,99,100,3.85,0.0711735515885802,t,i,p,s,y,1,1,8,0.5277561569870319,0.06436285097192225,0.016090712742980563,4.037399502806164e-06
5/14/2022,329,metal,73225,5290,1,10,31,34,18,7,1,11,42,76,94,101,102,3.89,0.0722430863776032,m,e,t,a,l,1,2,10,0.6685059577142434,0.04622030237580994,0.011555075593952484,0.0008116548204812205
5/15/2022,330,yield,67115,4963,0,4,16,29,29,18,4,4,20,49,78,96,100,4.53,0.0739477017060269,y,i,e,l,d,1,2,12,0.5764941567928765,0.002591792656587473,0.0006479481641468683,0.00021702906208495042
5/16/2022,331,delve,68349,5179,0,2,14,32,33,16,2,2,16,48,81,97,99,4.489999999999999,0.0757728715855389,d,e,l,v,e,4,2,9,0.6246878728448089,0.04794816414686825,0.011987041036717062,9.259173553459465e-06
5/17/2022,332,being,70722,5142,0,4,22,37,26,10,1,4,26,63,89,99,100,4.19,0.072707219818444,b,e,i,n,g,1,2,12,0.520037769109465,0.07473002159827213,0.018682505399568033,0.003507472629366014
5/18/2022,333,scour,73933,5544,0,8,34,35,17,5,1,8,42,77,94,99,100,3.8,0.0749868123841856,s,c,o,u,r,1,2,6,0.5924535308827729,0.15809935205183584,0.03952483801295896,5.944597775082568e-06
5/19/2022,334,glass,70920,5162,0,4,19,33,27,14,3,4,23,56,83,97,100,4.37,0.0727862380146644,g,l,a,s,s,4,1,4,0.683039622908801,0.04967602591792657,0.012419006479481642,0.0009182439212137596
5/20/2022,335,gamer,69884,5238,1,4,17,28,26,18,6,5,22,50,76,94,100,4.5200000000000005,0.0749527788907332,g,a,m,e,r,1,2,10,0.63619625588065,0.04967602591792657,0.012419006479481642,4.5435408050170484e-05
5/21/2022,336,scrap,66814,4973,1,9,28,34,20,8,1,10,38,72,92,100,101,3.94,0.0744305085760469,s,c,r,a,p,1,1,2,0.620799819058484,0.15809935205183584,0.03952483801295896,5.4278379723329296e-05
5/22/2022,337,money,67909,4928,1,7,26,36,21,8,1,8,34,70,91,99,100,3.97,0.0725677008938432,m,o,n,e,y,1,2,10,0.5630893169721236,0.04622030237580994,0.011555075593952484,0.0027478811693957385
5/23/2022,338,hinge,66431,4906,0,5,25,37,22,9,2,5,30,67,89,98,100,4.11,0.0738510635095061,h,i,n,g,e,1,2,9,0.5298373978631958,0.029805615550755938,0.0074514038876889845,2.5410620772941212e-05
5/24/2022,339,album,63380,4809,0,5,26,35,24,9,1,5,31,66,90,99,100,4.090000000000001,0.0758756705585358,a,l,b,u,m,1,2,18,0.47720267821006523,0.06090712742980561,0.015226781857451403,0.0011256234100989122
5/25/2022,340,vouch,62723,4835,0,2,9,25,33,24,6,2,11,36,69,93,99,4.82,0.0770849608596527,v,o,u,c,h,1,2,12,0.3660080852159959,0.018574514038876888,0.004643628509719222,5.619324932048471e-06
5/26/2022,341,asset,63188,4733,0,7,28,34,21,8,1,7,35,69,90,98,99,3.94,0.0749034626827878,a,s,s,e,t,4,2,18,0.8388136819186773,0.06090712742980561,0.015226781857451403,0.00026262734493113983
5/27/2022,342,tiara,63846,4842,0,8,36,33,17,6,1,8,44,77,94,100,101,3.84,0.0758387369608119,t,i,a,r,a,4,3,13,0.7231286668878444,0.06436285097192225,0.016090712742980563,1.3339364891089834e-05
5/28/2022,343,crept,60069,4562,0,4,27,38,22,7,1,4,31,69,91,98,99,4.0,0.0759459954385789,c,r,e,p,t,1,1,4,0.5914010219709775,0.08552915766738661,0.021382289416846653,8.505418931542477e-06
5/29/2022,344,bayou,56839,4435,0,6,17,33,29,13,2,6,23,56,85,98,100,4.32,0.0780274107566987,b,a,y,o,u,1,3,11,0.5088043977219365,0.07473002159827213,0.018682505399568033,2.019621466143725e-05
5/30/2022,345,atoll,60969,4741,0,6,28,36,21,8,1,6,34,70,91,99,100,4.0,0.0777608292738932,a,t,o,l,l,4,2,20,0.6478085262609412,0.06090712742980561,0.015226781857451403,1.3124625582235347e-05
5/31/2022,346,manor,62768,4802,0,6,27,34,21,10,2,6,33,67,88,98,100,4.08,0.0765039510578638,m,a,n,o,r,1,2,10,0.6044660695137257,0.04622030237580994,0.011555075593952484,0.0001023520589726648
6/1/2022,347,creak,63241,4797,0,5,21,32,25,14,3,5,26,58,83,97,100,4.31,0.0758526905014152,c,r,e,a,k,1,2,6,0.6386210910765311,0.08552915766738661,0.021382289416846653,1.7931830256752451e-06
6/2/2022,348,showy,61278,4770,0,2,16,37,30,13,2,2,18,55,85,98,100,4.42,0.0778419661216097,s,h,o,w,y,1,1,4,0.4642883423037333,0.15809935205183584,0.03952483801295896,4.258928873229653e-06
6/3/2022,349,peach,65431,4957,1,13,38,32,13,3,0,14,52,84,97,100,100,3.52,0.0757591967110391,p,e,a,c,h,1,2,12,0.5793920421807749,0.061339092872570194,0.015334773218142549,5.689303017639791e-05
6/4/2022,350,froth,58263,4432,0,5,22,35,25,11,1,5,27,62,87,98,99,4.140000000000001,0.076068860168546,f,r,o,t,h,1,1,4,0.4800595031688072,0.05874730021598272,0.01468682505399568,4.023024797995197e-06
6/5/2022,351,depth,56738,4329,0,6,28,39,20,6,1,6,34,73,93,99,100,3.95,0.0762980718389791,d,e,p,t,h,1,1,8,0.5142038238892658,0.04794816414686825,0.011987041036717062,0.00046056736245776665
6/6/2022,352,gloom,58478,4548,0,2,14,35,35,13,1,2,16,51,86,99,100,4.460000000000001,0.0777728376483463,g,l,o,o,m,4,2,6,0.4907809446371249,0.04967602591792657,0.012419006479481642,1.2684672933382699e-05
6/7/2022,353,flood,58991,4440,0,3,20,40,28,8,1,3,23,63,91,99,100,4.210000000000001,0.0752657184994321,f,l,o,o,d,4,2,6,0.4895345559180826,0.05874730021598272,0.01468682505399568,0.00020195762472230633
6/8/2022,354,trait,61026,4607,0,6,22,35,24,11,2,6,28,63,87,98,100,4.18,0.075492413069839,t,r,a,i,t,4,2,6,0.6556450611660554,0.06436285097192225,0.016090712742980563,2.4638056235784144e-05
6/9/2022,355,girth,60020,4665,0,6,23,33,23,12,3,6,29,62,85,97,100,4.21,0.0777240919693435,g,i,r,t,h,1,1,8,0.4771091998668069,0.04967602591792657,0.012419006479481642,7.121170975595109e-06
6/10/2022,356,piety,55376,4324,0,4,25,41,22,7,1,4,29,70,92,99,100,4.0600000000000005,0.0780843686795723,p,i,e,t,y,1,2,12,0.5658409656213146,0.061339092872570194,0.015334773218142549,8.601548867032102e-06
6/11/2022,357,goose,51958,4087,0,2,12,28,32,21,5,2,14,42,74,95,100,4.73,0.0786596866700027,g,o,o,s,e,4,3,13,0.6991734774758416,0.04967602591792657,0.012419006479481642,5.402262555321014e-05
6/12/2022,358,float,56684,4323,1,12,30,32,18,6,1,13,43,75,93,99,100,3.7599999999999993,0.0762649072048549,f,l,o,a,t,1,2,6,0.572401003528238,0.05874730021598272,0.01468682505399568,0.0001272581059363318
6/13/2022,359,donor,53802,4142,0,3,27,38,23,7,1,3,30,68,91,98,99,4.03,0.076985985651091,d,o,n,o,r,4,2,10,0.5742828763621027,0.04794816414686825,0.011987041036717062,0.00010252523443655331
6/14/2022,360,atone,59968,4762,2,16,34,29,14,4,1,18,52,81,95,99,100,3.53,0.0794090181430096,a,t,o,n,e,1,3,21,0.7267290220423166,0.06090712742980561,0.015226781857451403,2.208951497790647e-06
6/15/2022,361,primo,55989,4391,0,3,22,38,25,10,2,3,25,63,88,98,100,4.23,0.0784261194163139,p,r,i,m,o,1,2,5,0.5101921996939316,0.061339092872570194,0.015334773218142549,1.3177342464501897e-05
6/16/2022,362,apron,53430,4112,0,7,30,38,19,5,1,7,37,75,94,99,100,3.88,0.0769605090772974,a,p,r,o,n,1,2,18,0.6087219809691193,0.06090712742980561,0.015226781857451403,2.3365858742664778e-05
6/17/2022,363,blown,54665,4251,0,6,23,35,26,10,1,6,29,64,90,100,101,4.18,0.0777645659928656,b,l,o,w,n,1,1,4,0.42267283937731637,0.07473002159827213,0.018682505399568033,6.110936947195648e-05
6/18/2022,364,cacao,47205,4101,0,1,9,27,36,23,4,1,10,37,73,96,100,4.83,0.0868763902129011,c,a,c,a,o,16,3,11,0.632152926386514,0.08552915766738661,0.021382289416846653,4.792252092125798e-06
6/19/2022,365,loser,55359,4399,1,10,28,32,19,8,2,11,39,71,90,98,100,3.9,0.0794631405914124,l,o,s,e,r,1,2,10,0.7637265602405744,0.03801295896328294,0.009503239740820735,3.653891046613265e-05
6/20/2022,366,input,50484,3950,0,5,30,38,21,6,1,5,35,73,94,100,101,4.0,0.0782426115204817,i,n,p,u,t,1,2,18,0.46275888387782316,0.01468682505399568,0.00367170626349892,0.0008262446691153484
6/21/2022,367,gloat,53342,4194,0,8,21,31,26,12,2,8,29,60,86,98,100,4.19,0.0786247234824341,g,l,o,a,t,1,2,6,0.58780646310611,0.04967602591792657,0.012419006479481642,1.6410856465296546e-06
6/22/2022,368,awful,47645,3861,0,5,21,33,27,12,2,5,26,59,86,98,100,4.26,0.0810368349249659,a,w,f,u,l,1,2,18,0.4383775982729489,0.06090712742980561,0.015226781857451403,7.537502878351343e-05
6/23/2022,369,brink,53111,4118,0,4,22,41,24,7,1,4,26,67,91,98,99,4.07,0.0775357270621905,b,r,i,n,k,1,1,4,0.4410192228067377,0.07473002159827213,0.018682505399568033,2.1451957090456423e-05
6/24/2022,370,smite,50617,3991,0,6,23,35,24,11,2,6,29,64,88,99,101,4.21,0.0788470276784479,s,m,i,t,e,1,2,5,0.6642451498128061,0.15809935205183584,0.03952483801295896,3.906351314524472e-06
6/25/2022,371,beady,46089,3670,0,3,19,39,29,10,1,3,22,61,90,100,101,4.3100000000000005,0.0796285447720714,b,e,a,d,y,1,2,12,0.5768422989705911,0.07473002159827213,0.018682505399568033,1.2709550563216354e-06
6/26/2022,372,rusty,50450,3954,0,9,37,34,13,5,1,9,46,80,93,98,99,3.67,0.0783746283448959,r,u,s,t,y,1,1,8,0.5666589153115476,0.04535637149028078,0.011339092872570195,4.017542184451718e-05
6/27/2022,373,retro,47986,3848,0,6,24,35,24,9,1,6,30,65,89,98,99,4.050000000000001,0.0801900554328345,r,e,t,r,o,4,2,9,0.7314816390366728,0.04535637149028078,0.011339092872570195,0.00011557810207024989
6/28/2022,374,droll,47312,3844,0,2,16,31,31,17,3,2,18,49,80,97,100,4.54,0.0812478863713222,d,r,o,l,l,4,1,4,0.5694930982606875,0.04794816414686825,0.011987041036717062,2.8328570274051482e-06
6/29/2022,375,gawky,45645,3957,0,1,5,22,33,28,10,1,6,28,61,89,99,5.08,0.0866907656917515,g,a,w,k,y,1,1,8,0.3733006687418464,0.04967602591792657,0.012419006479481642,4.4981990853695904e-07
6/30/2022,376,hutch,44212,3758,0,1,12,28,28,21,9,1,13,41,69,90,99,4.79,0.0849995476341264,h,u,t,c,h,4,1,8,0.3788321287116774,0.029805615550755938,0.0074514038876889845,1.9837193767711274e-05
7/1/2022,377,pinto,47248,3792,0,5,25,41,22,6,1,5,30,71,93,99,100,4.0200000000000005,0.0802573653911276,p,i,n,t,o,1,2,9,0.5183315927575565,0.061339092872570194,0.015334773218142549,1.6019806706680206e-05
7/2/2022,378,egret,41765,3515,0,3,14,33,33,15,2,3,17,50,83,98,100,4.489999999999999,0.0841613791452172,e,g,r,e,t,4,2,18,0.7186679640086896,0.031101511879049675,0.007775377969762419,5.7032616505929134e-06
7/3/2022,379,lilac,40486,3461,0,2,17,38,29,12,1,2,19,57,86,98,99,4.3100000000000005,0.0854863409573679,l,i,l,a,c,4,2,10,0.5886331923510866,0.03801295896328294,0.009503239740820735,2.511866257241374e-05
7/4/2022,380,sever,42645,3591,0,2,13,27,29,21,7,2,15,42,71,92,99,4.71,0.0842068237776996,s,e,v,e,r,4,2,10,0.7493416367546372,0.15809935205183584,0.03952483801295896,9.91502126632728e-06
7/5/2022,381,field,44578,3604,1,6,25,36,23,9,1,7,32,68,91,100,101,4.08,0.0808470546009242,f,i,e,l,d,1,2,12,0.5453095107181705,0.05874730021598272,0.01468682505399568,0.0019545140217383044
7/6/2022,382,fluff,47344,4049,0,0,4,25,44,23,4,0,4,29,73,96,100,4.98,0.0855229807367353,f,l,u,f,f,27,1,4,0.3000297069975605,0.05874730021598272,0.01468682505399568,1.1767537872563975e-05
7/7/2022,383,agape,43407,3671,0,2,18,36,27,15,3,2,20,56,83,98,101,4.48,0.0845716128734996,a,g,a,p,e,4,3,21,0.6802434117365947,0.06090712742980561,0.015226781857451403,5.987837465031538e-06
7/8/2022,384,voice,42806,3484,1,5,24,35,25,9,1,6,30,65,90,99,100,4.09,0.0813904592814091,v,o,i,c,e,1,3,13,0.5522973147979071,0.018574514038876888,0.004643628509719222,0.0009332799202337893
7/9/2022,385,stead,47094,3933,1,6,20,27,28,16,3,7,27,54,82,98,101,4.38,0.0835138234169958,s,t,e,a,d,1,2,6,0.7411022475619611,0.15809935205183584,0.03952483801295896,1.0470939498614735e-05
7/10/2022,386,berth,41785,3494,0,7,24,35,24,9,1,7,31,66,90,99,100,4.07,0.0836185233935622,b,e,r,t,h,1,1,8,0.5672478588688601,0.07473002159827213,0.018682505399568033,1.5256112590381364e-05
7/11/2022,387,madam,40545,3430,0,3,13,35,34,14,2,3,16,51,85,99,101,4.53,0.0845973609569614,m,a,d,a,m,16,2,10,0.5467600342183754,0.04622030237580994,0.011555075593952484,2.9234465615932585e-05
7/12/2022,388,night,46910,3870,1,8,27,27,17,13,7,9,36,63,80,93,100,4.180000000000001,0.0824984011937753,n,i,g,h,t,1,1,8,0.4325653384718995,0.015982721382289417,0.003995680345572354,0.0018857804533040062
7/13/2022,389,bland,46246,3727,0,7,31,38,18,4,0,7,38,76,94,98,98,3.73,0.0805907537949228,b,l,a,n,d,1,1,4,0.5069416161636223,0.07473002159827213,0.018682505399568033,2.3208863851025802e-05
7/14/2022,390,liver,40549,3388,0,4,16,26,25,20,8,4,20,46,71,91,99,4.609999999999999,0.0835532318922784,l,i,v,e,r,1,2,10,0.5984179372059169,0.03801295896328294,0.009503239740820735,0.00017537664293284125
7/15/2022,391,wedge,39234,3353,0,2,11,32,37,17,2,2,13,45,82,99,101,4.659999999999999,0.0854615894377325,w,e,d,g,e,4,2,9,0.5740007227121933,0.035853131749460046,0.008963282937365011,4.569351707142952e-05
7/16/2022,392,roomy,38769,3280,0,2,17,41,28,10,2,2,19,60,88,98,100,4.33,0.0846036781964972,r,o,o,m,y,4,2,12,0.5335024606870711,0.04535637149028078,0.011339092872570195,8.295259302512187e-06
7/17/2022,393,wacky,39611,3345,0,3,18,39,27,10,2,3,21,60,87,97,99,4.25,0.0844462396808967,w,a,c,k,y,1,1,8,0.39173312909856955,0.035853131749460046,0.008963282937365011,2.6898453285164594e-05
7/18/2022,394,flock,42574,3548,0,4,22,37,27,9,1,4,26,63,90,99,100,4.18,0.0833372480856861,f,l,o,c,k,1,1,4,0.39540694715709224,0.05874730021598272,0.01468682505399568,3.7346754429569493e-05
7/19/2022,395,angry,39667,3358,0,5,27,38,21,7,1,5,32,70,91,98,99,3.9699999999999993,0.0846547508004134,a,n,g,r,y,1,1,16,0.5312831059843448,0.06090712742980561,0.015226781857451403,0.0001338870841298115
7/20/2022,396,trite,42237,3685,0,4,14,22,22,23,15,4,18,40,62,85,100,4.91,0.0872457797665553,t,r,i,t,e,4,2,5,0.6854335148355627,0.06436285097192225,0.016090712742980563,4.153408427059497e-06
7/21/2022,397,aphid,39086,3367,0,6,24,36,23,9,2,6,30,66,89,98,100,4.109999999999999,0.0861433761449112,a,p,h,i,d,1,2,18,0.48920094905122236,0.06090712742980561,0.015226781857451403,4.263840832662545e-06
7/22/2022,398,tryst,43099,3665,0,3,26,41,23,6,1,3,29,70,93,99,100,4.0600000000000005,0.085036775795262,t,r,y,s,t,4,0,0,0.5990902824799446,0.06436285097192225,0.016090712742980563,2.9720532895696396e-06
7/23/2022,399,midge,36769,3111,0,2,18,39,28,10,2,2,20,59,87,97,99,4.279999999999999,0.0846093176317006,m,i,d,g,e,1,2,9,0.5072816840693843,0.04622030237580994,0.011555075593952484,4.4603047630387694e-06
7/24/2022,400,power,39813,3401,2,6,19,29,24,15,4,8,27,56,80,95,99,4.25,0.0854243588777535,p,o,w,e,r,1,2,10,0.5769112383367405,0.061339092872570194,0.015334773218142549,0.003273624021344011
7/25/2022,401,elope,39228,3339,0,4,22,32,26,13,2,4,26,58,84,97,99,4.24,0.0851177730192719,e,l,o,p,e,4,3,21,0.7256916645504805,0.031101511879049675,0.007775377969762419,1.083289312106094e-06
7/26/2022,402,cinch,39171,3507,0,2,15,24,22,25,13,2,17,41,63,88,101,4.96,0.0895305200275714,c,i,n,c,h,4,1,8,0.4101782277986401,0.08552915766738661,0.021382289416846653,6.172411564192258e-06
7/27/2022,403,motto,38384,3285,0,1,11,36,36,14,1,1,12,48,84,98,99,4.5,0.0855825343893288,m,o,t,t,o,16,2,9,0.5492829442557048,0.04622030237580994,0.011555075593952484,2.7364627129225186e-05
7/28/2022,404,stomp,40650,3490,0,7,26,32,21,11,2,7,33,65,86,97,99,4.05,0.0858548585485854,s,t,o,m,p,1,1,4,0.5369015102982434,0.15809935205183584,0.03952483801295896,1.687457432964069e-05
7/29/2022,405,upset,37791,3213,0,5,30,38,20,6,1,5,35,73,93,99,100,3.95,0.0850202429149797,u,p,s,e,t,1,2,18,0.6312841152683388,0.014254859611231102,0.0035637149028077755,8.010082495390008e-05
7/30/2022,406,bluff,37353,3171,0,2,14,42,31,10,1,2,16,58,89,99,100,4.359999999999999,0.0848927796964099,b,l,u,f,f,4,1,4,0.31308734501765334,0.07473002159827213,0.018682505399568033,5.643943961664923e-05
7/31/2022,407,cramp,39250,3369,1,8,26,33,19,10,2,9,35,68,87,97,99,3.96,0.0858343949044586,c,r,a,m,p,1,1,4,0.508929313842938,0.08552915766738661,0.021382289416846653,5.8094466559804594e-06
8/1/2022,408,quart,36662,3303,0,5,20,33,27,13,2,5,25,58,85,98,100,4.29,0.0900932845998581,q,u,a,r,t,1,2,12,0.511354473306769,0.009935205183585313,0.002483801295896328,2.8924607657354068e-05
8/2/2022,409,coyly,34909,3380,0,0,4,17,28,35,15,0,4,21,49,84,99,5.3500000000000005,0.0968231688103354,c,o,y,l,y,4,1,8,0.4518096279613011,0.08552915766738661,0.021382289416846653,7.537546219169869e-07
8/3/2022,410,youth,38381,3327,1,5,17,31,29,15,3,6,23,54,83,98,101,4.42,0.0866835152809984,y,o,u,t,h,1,2,12,0.45112042075387837,0.002591792656587473,0.0006479481641468683,0.0007429519951341962
8/4/2022,411,rhyme,37229,3336,0,4,22,39,25,8,1,4,26,65,90,98,99,4.1,0.0896075639958097,r,h,y,m,e,1,1,1,0.532691612464941,0.04535637149028078,0.011339092872570195,2.211440705467963e-05
8/5/2022,412,buggy,37350,3428,0,1,9,29,34,22,5,1,10,39,73,95,100,4.82,0.0917804551539491,b,u,g,g,y,4,1,8,0.2996753875154002,0.07473002159827213,0.018682505399568033,2.8250094498641255e-05
8/6/2022,413,alien,38841,3395,3,17,31,29,15,4,0,20,51,80,95,99,99,3.45,0.0874076362606524,a,l,i,e,n,1,3,22,0.70912329093057,0.06090712742980561,0.015226781857451403,0.00015155639904875483
8/7/2022,414,smear,36223,3190,0,2,16,39,29,12,2,2,18,57,86,98,100,4.39,0.0880655936835712,s,m,e,a,r,1,2,6,0.7546355380243692,0.15809935205183584,0.03952483801295896,1.862973301052954e-05
8/8/2022,415,unfit,35516,3187,0,3,24,38,25,9,1,3,27,65,90,99,100,4.16,0.0897342043022862,u,n,f,i,t,1,2,18,0.4365287359163843,0.014254859611231102,0.0035637149028077755,1.1761903566155656e-05
8/9/2022,416,patty,36223,3019,0,2,16,39,29,12,1,2,18,57,86,98,99,4.32,0.0833448361538249,p,a,t,t,y,4,1,8,0.5312669331203433,0.061339092872570194,0.015334773218142549,3.3801403239483664e-05
8/10/2022,417,cling,37654,3312,0,4,20,34,27,13,2,4,24,58,85,98,100,4.31,0.0879587825994582,c,l,i,n,g,1,1,4,0.4442960234007966,0.08552915766738661,0.021382289416846653,1.36708643650521e-05
8/11/2022,418,glean,37301,3243,0,6,23,37,24,8,1,6,29,66,90,98,99,4.04,0.0869413688641055,g,l,e,a,n,1,2,6,0.6450856807124005,0.04967602591792657,0.012419006479481642,3.3654434523863593e-06
8/12/2022,419,label,34198,3076,0,4,18,32,29,15,2,4,22,54,83,98,100,4.39,0.0899467805134803,l,a,b,e,l,4,2,10,0.6603393909964166,0.03801295896328294,0.009503239740820735,0.0005975233521596129
8/13/2022,420,hunky,35276,3185,0,1,11,33,25,22,7,1,12,45,70,92,99,4.73,0.0902880145141172,h,u,n,k,y,1,1,8,0.3424366993494983,0.029805615550755938,0.0074514038876889845,4.039349839639813e-06
8/14/2022,421,khaki,31652,2968,0,2,17,33,28,16,4,2,19,52,80,96,100,4.510000000000001,0.0937697459876153,k,h,a,k,i,4,2,5,0.43877071641531507,0.008639308855291577,0.0021598272138228943,2.1403198669615205e-05
8/15/2022,422,poker,35376,3180,0,4,17,30,27,17,5,4,21,51,78,95,100,4.51,0.0898914518317503,p,o,k,e,r,1,2,10,0.586671055092922,0.061339092872570194,0.015334773218142549,0.0018644472645032491
8/16/2022,423,gruel,35105,3087,0,3,19,39,29,9,1,3,22,61,90,99,100,4.25,0.0879361914257228,g,r,u,e,l,1,2,6,0.589714569217122,0.04967602591792657,0.012419006479481642,1.187480639841466e-06
8/17/2022,424,twice,35815,3173,1,6,28,38,21,6,1,7,35,73,94,100,101,3.97,0.0885941644562334,t,w,i,c,e,1,2,5,0.5384708861087866,0.06436285097192225,0.016090712742980563,0.00028815242880580696
8/18/2022,425,twang,34938,3172,0,3,22,43,25,7,1,3,25,68,93,100,101,4.180000000000001,0.0907893983628141,t,w,a,n,g,1,1,4,0.4686128931774226,0.06436285097192225,0.016090712742980563,3.5123110394298694e-06
8/19/2022,426,shrug,33965,2987,0,4,23,36,26,10,1,4,27,63,89,99,100,4.18,0.0879434712203739,s,h,r,u,g,1,1,2,0.4990795046239596,0.15809935205183584,0.03952483801295896,1.0409106597518315e-05
8/20/2022,427,treat,38245,3249,1,22,32,26,14,5,1,23,55,81,95,100,101,3.52,0.0849522813439665,t,r,e,a,t,4,2,6,0.7481315417258878,0.06436285097192225,0.016090712742980563,0.0002808819487103914
8/21/2022,428,waste,35617,3186,1,7,19,27,24,17,5,8,27,54,78,95,100,4.369999999999999,0.0894516663391077,w,a,s,t,e,1,2,9,0.7011757347861078,0.035853131749460046,0.008963282937365011,0.0005936183588574022
8/22/2022,429,merit,35888,3123,0,7,33,37,17,5,0,7,40,77,94,99,99,3.76,0.0870207311636201,m,e,r,i,t,1,2,10,0.6327502603770303,0.04622030237580994,0.011555075593952484,9.31956898407479e-05
8/23/2022,430,woven,33549,2933,0,2,13,32,32,17,3,2,15,47,79,96,99,4.54,0.0874243643625741,w,o,v,e,n,1,2,10,0.4930291105472001,0.035853131749460046,0.008963282937365011,6.13781692284518e-05
8/24/2022,431,needy,33700,2927,0,2,21,41,26,9,1,2,23,64,90,99,100,4.220000000000001,0.0868545994065281,n,e,e,d,y,4,2,12,0.6513791055109135,0.015982721382289417,0.003995680345572354,2.363717226663459e-05
8/25/2022,432,clown,36737,3175,1,8,29,36,20,6,1,9,38,74,94,100,101,3.91,0.0864251299779513,c,l,o,w,n,1,1,4,0.4434531212918187,0.08552915766738661,0.021382289416846653,4.4518258542412254e-05
8/26/2022,433,irony,34716,3046,0,6,29,34,21,8,1,6,35,69,90,98,99,3.95,0.0877405231017398,i,r,o,n,y,1,2,20,0.5509784521920614,0.01468682505399568,0.00367170626349892,3.1959418452148674e-05
8/27/2022,434,ruder,31241,2784,0,2,16,33,29,16,4,2,18,51,80,96,100,4.53,0.0891136647354438,r,u,d,e,r,4,2,10,0.6373847465572371,0.04535637149028078,0.011339092872570195,1.2953992779700337e-06
8/28/2022,435,gauze,30214,2866,0,2,11,24,31,25,8,2,13,37,68,93,101,4.94,0.0948566889521413,g,a,u,z,e,1,3,13,0.5284690033280025,0.04967602591792657,0.012419006479481642,8.035069921963927e-06
8/29/2022,436,chief,34281,3072,1,6,32,38,18,5,0,7,39,77,95,100,100,3.81,0.0896123216942329,c,h,i,e,f,1,2,6,0.49046386732901104,0.08552915766738661,0.021382289416846653,0.0006602192267406358
8/30/2022,437,onset,33660,3009,0,4,29,40,21,6,1,4,33,73,94,100,101,4.029999999999999,0.0893939393939394,o,n,s,e,t,1,2,18,0.7184326670775412,0.017710583153347732,0.004427645788336933,5.5748413606078195e-05
8/31/2022,438,prize,35343,3166,0,5,12,20,32,26,5,5,17,37,69,95,100,4.77,0.0895792660498542,p,r,i,z,e,1,2,5,0.5367193933108791,0.061339092872570194,0.015334773218142549,0.00023410888408418852
9/1/2022,439,fungi,31903,2928,0,2,18,41,28,9,1,2,20,61,89,98,99,4.23,0.0917782026768642,f,u,n,g,i,1,2,9,0.3772767045296787,0.05874730021598272,0.01468682505399568,2.890420857876805e-05
9/2/2022,440,charm,35724,3149,1,12,32,34,16,5,1,13,45,79,95,100,101,3.74,0.0881480237375434,c,h,a,r,m,1,1,4,0.5055564326553228,0.08552915766738661,0.021382289416846653,0.00015248230340185522
9/3/2022,441,gully,31191,2877,0,1,9,27,31,25,7,1,10,37,68,93,100,4.91,0.0922381456189285,g,u,l,l,y,4,1,8,0.4220273353828419,0.04967602591792657,0.012419006479481642,1.1568155660407033e-05
9/4/2022,442,inter,32018,2889,0,6,25,36,23,8,1,6,31,67,90,98,99,4.01,0.0902304953463676,i,n,t,e,r,1,2,18,0.668582014761893,0.01468682505399568,0.00367170626349892,0.00022059531799650508
9/5/2022,443,whoop,32733,2970,0,1,16,47,29,7,1,1,17,64,93,100,101,4.32,0.0907341215287324,w,h,o,o,p,4,2,6,0.4232879351447887,0.035853131749460046,0.008963282937365011,4.7928155227666295e-06
9/6/2022,444,taunt,32734,3022,0,4,19,27,21,16,13,4,23,50,71,87,100,4.65,0.0923199120180851,t,a,u,n,t,4,2,12,0.5738842537712869,0.06436285097192225,0.016090712742980563,4.263985302057631e-06
9/7/2022,445,leery,30992,2873,0,3,17,37,28,12,2,3,20,57,85,97,99,4.31,0.0927013422818791,l,e,e,r,y,4,2,12,0.7351971822736494,0.03801295896328294,0.009503239740820735,2.437198695085592e-06
9/8/2022,446,class,31962,3001,0,4,21,32,22,13,7,4,25,57,79,92,99,4.36,0.0938927476378199,c,l,a,s,s,4,1,4,0.7014720832655241,0.08552915766738661,0.021382289416846653,0.0027606334684529606
9/9/2022,447,theme,32172,2909,0,8,29,40,18,4,0,8,37,77,95,99,99,3.77,0.090420241203531,t,h,e,m,e,4,2,5,0.6457441554248711,0.06436285097192225,0.016090712742980563,0.0005377141783495433
9/10/2022,448,lofty,29237,2777,0,4,19,34,27,13,3,4,23,57,84,97,100,4.35,0.0949823853336525,l,o,f,t,y,1,1,8,0.4614445529165774,0.03801295896328294,0.009503239740820735,1.4716533846678034e-05
